(pc,x,y,z,f)
376:(7,4,3,3,1)
377:(7,4,4,1,1)
378:(7,4,4,2,1)
379:(7,4,4,3,1)
380:(7,4,5,1,1)
381:(7,4,5,2,1)
382:(7,4,5,3,1)
383:(7,5,0,1,1)
384:(7,5,0,2,1)
385:(7,5,0,3,1)
386:(7,5,1,1,1)
387:(7,5,1,2,1)
388:(7,5,1,3,1)
389:(7,5,2,1,1)
390:(7,5,2,2,1)
391:(7,5,2,3,1)
392:(7,5,3,1,1)
393:(7,5,3,2,1)
394:(7,5,3,3,1)
395:(7,5,4,1,1)
396:(7,5,4,2,1)
397:(7,5,4,3,1)
398:(7,5,5,1,1)
399:(7,5,5,2,1)
400:(7,5,5,3,1)
401:(7,6,0,1,1)
402:(7,6,0,2,1)
403:(7,6,0,3,1)
404:(7,6,1,1,1)
405:(7,6,1,2,1)
406:(7,6,1,3,1)
407:(7,6,2,1,1)
408:(7,6,2,2,1)
409:(7,6,2,3,1)
410:(7,6,3,1,1)
411:(7,6,3,2,1)
412:(7,6,3,3,1)
413:(7,6,4,1,1)
414:(7,6,4,2,1)
415:(7,6,4,3,1)
416:(7,6,5,1,1)
417:(7,6,5,2,1)
418:(7,6,5,3,1)
419:(7,7,0,2,1)
420:(7,7,0,3,1)
421:(7,7,1,2,1)
422:(7,7,1,3,1)
423:(7,7,2,2,1)
424:(7,7,2,3,1)
425:(7,7,3,2,1)
426:(7,7,3,3,1)
427:(7,7,4,2,1)
428:(7,7,4,3,1)
429:(7,7,5,2,1)
430:(7,7,5,3,1)
431:(7,8,0,3,1)
432:(7,8,1,3,1)
433:(7,8,2,3,1)
434:(7,8,3,3,1)
435:(7,8,4,3,1)
436:(7,8,5,3,1)
437:(8,-2,0,1,0)
438:(8,-2,0,2,0)
439:(8,-2,0,3,0)
440:(8,-2,1,1,0)
441:(8,-2,1,2,0)
442:(8,-2,1,3,0)
443:(8,-2,2,1,0)
444:(8,-2,2,2,0)
445:(8,-2,2,3,0)
446:(8,-2,3,1,0)
447:(8,-2,3,2,0)
448:(8,-2,3,3,0)
449:(8,-2,4,1,0)
450:(8,-2,4,2,0)
451:(8,-2,4,3,0)
452:(8,-2,5,1,0)
453:(8,-2,5,2,0)
454:(8,-2,5,3,0)
455:(8,-1,0,1,0)
456:(8,-1,0,2,0)
457:(8,-1,0,3,0)
458:(8,-1,1,0,0)
459:(8,-1,1,1,0)
460:(8,-1,1,2,0)
461:(8,-1,1,3,0)
462:(8,-1,2,1,0)
463:(8,-1,2,2,0)
464:(8,-1,2,3,0)
465:(8,-1,3,1,0)
466:(8,-1,3,2,0)
467:(8,-1,3,3,0)
468:(8,-1,4,1,0)
469:(8,-1,4,2,0)
470:(8,-1,4,3,0)
471:(8,-1,5,1,0)
472:(8,-1,5,2,0)
473:(8,-1,5,3,0)
474:(8,0,0,1,0)
475:(8,0,0,2,0)
476:(8,0,0,3,0)
477:(8,0,1,1,0)
478:(8,0,1,2,0)
479:(8,0,1,3,0)
480:(8,0,2,1,0)
481:(8,0,2,2,0)
